 1973  2  1  43.4724
 1973  3  1  43.5648
 1973  4  1  43.6737
 1973  5  1  43.7782
 1973  6  1  43.8763
 1973  7  1  43.9562
 1973  8  1  44.0315
 1973  9  1  44.1132
 1973 10  1  44.1982
 1973 11  1  44.2952
 1973 12  1  44.3936
 1974  1  1  44.4841
 1974  2  1  44.5646
 1974  3  1  44.6425
 1974  4  1  44.7386
 1974  5  1  44.8370
 1974  6  1  44.9302
 1974  7  1  44.9986
 1974  8  1  45.0584
 1974  9  1  45.1284
 1974 10  1  45.2064
 1974 11  1  45.2980
 1974 12  1  45.3897
 1975  1  1  45.4761
 1975  2  1  45.5632
 1975  3  1  45.6450
 1975  4  1  45.7375
 1975  5  1  45.8284
 1975  6  1  45.9133
 1975  7  1  45.9820
 1975  8  1  46.0407
 1975  9  1  46.1067
 1975 10  1  46.1825
 1975 11  1  46.2789
 1975 12  1  46.3713
 1976  1  1  46.4567
 1976  2  1  46.5445
 1976  3  1  46.6311
 1976  4  1  46.7302
 1976  5  1  46.8284
 1976  6  1  46.9247
 1976  7  1  46.9970
 1976  8  1  47.0709
 1976  9  1  47.1450
 1976 10  1  47.2362
 1976 11  1  47.3413
 1976 12  1  47.4319
 1977  1  1  47.5214
 1977  2  1  47.6049
 1977  3  1  47.6837
 1977  4  1  47.7781
 1977  5  1  47.8771
 1977  6  1  47.9687
 1977  7  1  48.0348
 1977  8  1  48.0942
 1977  9  1  48.1608
 1977 10  1  48.2460
 1977 11  1  48.3439
 1977 12  1  48.4355
 1978  1  1  48.5344
 1978  2  1  48.6324
 1978  3  1  48.7294
 1978  4  1  48.8365
 1978  5  1  48.9353
 1978  6  1  49.0319
 1978  7  1  49.1013
 1978  8  1  49.1591
 1978  9  1  49.2286
 1978 10  1  49.3070
 1978 11  1  49.4018
 1978 12  1  49.4945
 1979  1  1  49.5861
 1979  2  1  49.6805
 1979  3  1  49.7602
 1979  4  1  49.8556
 1979  5  1  49.9489
 1979  6  1  50.0347
 1979  7  1  50.1019
 1979  8  1  50.1622
 1979  9  1  50.2260
 1979 10  1  50.2968
 1979 11  1  50.3831
 1979 12  1  50.4599
 1980  1  1  50.5387
 1980  2  1  50.6160
 1980  3  1  50.6866
 1980  4  1  50.7658
 1980  5  1  50.8454
 1980  6  1  50.9187
 1980  7  1  50.9761
 1980  8  1  51.0278
 1980  9  1  51.0843
 1980 10  1  51.1538
 1980 11  1  51.2319
 1980 12  1  51.3063
 1981  1  1  51.3808
 1981  2  1  51.4526
 1981  3  1  51.5160
 1981  4  1  51.5985
 1981  5  1  51.6809
 1981  6  1  51.7573
 1981  7  1  51.8133
 1981  8  1  51.8532
 1981  9  1  51.9014
 1981 10  1  51.9603
 1981 11  1  52.0328
 1981 12  1  52.0985
 1982  1  1  52.1668
 1982  2  1  52.2316
 1982  3  1  52.2938
 1982  4  1  52.3680
 1982  5  1  52.4465
 1982  6  1  52.5180
 1982  7  1  52.5751
 1982  8  1  52.6178
 1982  9  1  52.6668
 1982 10  1  52.7340
 1982 11  1  52.8056
 1982 12  1  52.8792
 1983  1  1  52.9565
 1983  2  1  53.0445
 1983  3  1  53.1268
 1983  4  1  53.2197
 1983  5  1  53.3024
 1983  6  1  53.3747
 1983  7  1  53.4335
 1983  8  1  53.4778
 1983  9  1  53.5300
 1983 10  1  53.5845
 1983 11  1  53.6523
 1983 12  1  53.7256
 1984  1  1  53.7882
 1984  2  1  53.8367
 1984  3  1  53.8830
 1984  4  1  53.9443
 1984  5  1  54.0042
 1984  6  1  54.0536
 1984  7  1  54.0856
 1984  8  1  54.1084
 1984  9  1  54.1463
 1984 10  1  54.1914
 1984 11  1  54.2452
 1984 12  1  54.2958
 1985  1  1  54.3427
 1985  2  1  54.3911
 1985  3  1  54.4320
 1985  4  1  54.4898
 1985  5  1  54.5456
 1985  6  1  54.5977
 1985  7  1  54.6355
 1985  8  1  54.6532
 1985  9  1  54.6776
 1985 10  1  54.7174
 1985 11  1  54.7741
 1985 12  1  54.8253
 1986  1  1  54.8712
 1986  2  1  54.9161
 1986  3  1  54.9581
 1986  4  1  54.9997
 1986  5  1  55.0476
 1986  6  1  55.0912
 1986  7  1  55.1132
 1986  8  1  55.1328
 1986  9  1  55.1532
 1986 10  1  55.1898
 1986 11  1  55.2416
 1986 12  1  55.2838
 1987  1  1  55.3222
 1987  2  1  55.3613
 1987  3  1  55.4063
 1987  4  1  55.4629
 1987  5  1  55.5111
 1987  6  1  55.5524
 1987  7  1  55.5812
 1987  8  1  55.6004
 1987  9  1  55.6262
 1987 10  1  55.6656
 1987 11  1  55.7168
 1987 12  1  55.7698
 1988  1  1  55.8197
 1988  2  1  55.8615
 1988  3  1  55.9130
 1988  4  1  55.9663
 1988  5  1  56.0220
 1988  6  1  56.0700
 1988  7  1  56.0939
 1988  8  1  56.1105
 1988  9  1  56.1314
 1988 10  1  56.1611
 1988 11  1  56.2068
 1988 12  1  56.2582
 1989  1  1  56.3000
 1989  2  1  56.3399
 1989  3  1  56.3790
 1989  4  1  56.4283
 1989  5  1  56.4804
 1989  6  1  56.5352
 1989  7  1  56.5697
 1989  8  1  56.5983
 1989  9  1  56.6328
 1989 10  1  56.6739
 1989 11  1  56.7332
 1989 12  1  56.7972
 1990  1  1  56.8553
 1990  2  1  56.9111
 1990  3  1  56.9755
 1990  4  1  57.0471
 1990  5  1  57.1136
 1990  6  1  57.1738
 1990  7  1  57.2226
 1990  8  1  57.2597
 1990  9  1  57.3073
 1990 10  1  57.3643
 1990 11  1  57.4334
 1990 12  1  57.5016
 1991  1  1  57.5653
 1991  2  1  57.6333
 1991  3  1  57.6973
 1991  4  1  57.7711
 1991  5  1  57.8407
 1991  6  1  57.9058
 1991  7  1  57.9576
 1991  8  1  57.9975
 1991  9  1  58.0425
 1991 10  1  58.1043
 1991 11  1  58.1679
 1991 12  1  58.2389
 1992  1  1  58.3092
 1992  2  1  58.3833
 1992  3  1  58.4537
 1992  4  1  58.5401
 1992  5  1  58.6228
 1992  6  1  58.6917
 1992  7  1  58.7410
 1992  8  1  58.7836
 1992  9  1  58.8406
 1992 10  1  58.8986
 1992 11  1  58.9714
 1992 12  1  59.0438
 1993  1  1  59.1218
 1993  2  1  59.2003
 1993  3  1  59.2747
 1993  4  1  59.3574
 1993  5  1  59.4434
 1993  6  1  59.5242
 1993  7  1  59.5850
 1993  8  1  59.6343
